Source	Character	Field	OldValue	NewValue
h	並	comment	The primitive meaning remains the same as that of the kanji, but special attention has to be given to the varieties of shape this element can undergo. It is the most difficult one you will meet in this book. When it appears BENEATH its relative primitive, the top three strokes are omitted, though the third horizontal stroke may be doubled up with the bottom horizontal stroke of the element above it ([row-bottom] as in 繊 or 湿). ATOP its relative primitive, it can keep its kanji shape. When it does not, the top three strokes are removed and all of them are replaced BELOW the primitive's bottom line ([in_a_row_upside_down] as in 業). We shall acknowledge this latter transformation by changing its meaning to <i>upside down in a row</i>. Editor's note: You can use the row 並 primitive as described by Heisig, or you can switch to use it's basic components 业 (spikes) and 䒑 (grass, weeds) which were not included in RTK. You can decide case by case for each kanji these elements are introduced in.   	The primitive meaning remains the same as that of the kanji, but special attention has to be given to the varieties of shape this element can undergo. It is the most difficult one you will meet in this book. When it appears BENEATH its relative primitive, the top three strokes are omitted, though the third horizontal stroke may be doubled up with the bottom horizontal stroke of the element above it (亚 as in 繊 or 湿). ATOP its relative primitive, it can keep its kanji shape. When it does not, the top three strokes are removed and all of them are replaced BELOW the primitive's bottom line ([in_a_row_upside_down] as in 業). We shall acknowledge this latter transformation by changing its meaning to <i>upside down in a row</i>.
cs	並	comment		You can use the row 並 primitive as described by Heisig, or you can switch to use it's basic components 业 (spikes) and 䒑 (grass, weeds) which were not included in RTK. You can decide case by case for each kanji these elements are introduced in.
cs	撲	primitives		扌業
cs	鑿	primitives	丵臼殳金	
cs	揉	keywords		massage
h	揉	primitives		扌柔
cs	挨	primitives		扌矣
h	埃	primitives		土厶矢
cs	埃	primitives		土矣
h	矣	primitives		厶矢
cs	流	primitives		氵㐬
cs	硫	primitives		石㐬
h	梳	primitives		木𠫓川
cs	梳	primitives		木㐬
h	蔬	primitives		艹疏
h	醯	primitives		酉𠫓川皿
cs	醯	primitives		酉㐬皿
h	毓	primitives		毎㐬
h	旒	primitives		[banner]㐬
cs	㐬	primitive_keywords		Manneken Pis
cs	㐬	story		["This crowd-sourced primitive refers to <b>Manneken Pis</b>, the famous statue (https://en.wikipedia.org/wiki/Manneken_Pis) in Brussels, Belgium depicting a peeing small boy. Although not exactly <i>infant</i> but close enough to be useful to this mnemonic.  Just imagine him mischievously <i>streaming</i>  24/7 in front of curious tourists and you're done.", "Another proposal for this primitive keyword would be <i>infant</i> <b>Moses</b>, who according to the biblical story was left in a basket and set adrift in a Nile <i>river</i>."]
cs	矣	primitive_keywords		blowpipe
cs	矣	story		This crowd-sourced primitive keyword refers to <b>blow pipe</b> (or blow gun) which is a simple ranged weapon consisting of a long narrow tube for shooting light projectiles such as <i>darts</i> (矢). Just put the <i>dart</i> inside, flex your <i>elbow</i> (厶), aim and blow!
h	竢	primitives		立矣
h	欸	primitives		矣欠
cs	莢	keywords		pod
cs	莢	story		A assembly line (从) of workers cracking open pea <b>pods</b> while <i>big</i> <i>St Bernard dog</i> (大) keeps watch and makes sure the workers don't eat the products by themselves.
h	莢	primitives		艹大从
cs	曵	keywords		tow (old)
cs	曵	comment		This is an old form of 曳 (tow).
h	曵	primitives		曳丶
cs	曳	primitive_keywords		wheelbarrow
cs	曳	story		As a primitive lets use a keyword <b>wheelbarrow</b> (the one wheeled tool for <b>towing</b> various things in the garden and construction sites) because it's pictographic and coincides well with the original meaning.
cs	洩	story		If you <i>tow</i> (曳) <i>water</i> (水) in a <i>wheelbarrow</i> (曳), some of it is sure to <b>dribble out</b>.
cs	鴬	comment		This character is actually a 俗字 (unofficial simplification) of the character 鶯. As such, it is actually far less common than the traditional character according to a google search.
h	鶯	primitives		火火冖鳥
cs	鶯	primitives		𤇾鳥
cs	鶯	story		The nightingale is bird (鳥) with a crown (冖) as bright as a deep fire (two fires 火火).
cs	鶯	comment	This is an old form of 鴬 (nightingale)	Even though named as 'nightingale (old)' this character is the official kanji and 鴬 ('nightingale' in Heisig's book) is actually an unofficial simplification (俗字), making it far less common than the traditional one.
cs	𤇾	primitive_keywords		schoolhouse (old)
cs	𤇾	comment		This is an old form of [schoolhouse] (school house) used by many traditional form characters.
h	螢	primitives		火火冖虫
h	瑩	primitives		火火冖玉
cs	瑩	primitives		𤇾玉
h	撈	primitives		扌火火冖力
cs	撈	primitives		扌𤇾力
h	榮	primitives		火火冖木
cs	榮	primitives		𤇾木
h	營	primitives		火火冖呂
cs	營	primitives		𤇾呂
h	塋	primitives		火火冖土
cs	塋	primitives		𤇾土
h	蠑	primitives		虫榮
h	勞	primitives		火火冖力
cs	勞	primitives		𤇾力
h	犖	primitives		火火冖牛
cs	犖	primitives		𤇾牛
cs	享	primitives		亨一
cs	罠	keywords		trap
cs	罠	story		A basic <b>trap</b>: a <i>net</i> (罒) that falls on the <i>people</i> (民) below.
h	罠	primitives		罒民
cs	奢	keywords		extravagance
cs	越	primitives		走戉
cs	賊	primitives		貝戎
cs	絨	primitives		糸戎
cs	侑	keywords		urge to eat
h	旡	story	If you draw this character once, you will see that its first three strokes resemble the form for receipt (except that the second stroke ends more parallel to the first), with its last stroke stretched to form the first of the two human legs. From this we give it its meaning of a <b>waitress</b> (who should not be confused with the waiter back in FRAME 976 侍). [4]	["This primitive is too simple to draw to bother with looking for other primitive elements hidden inside it\u2014except perhaps for the last stroke that forms the second of two <i>human legs</i>. From this we give it its meaning of a <b>waitress</b> (who should not be confused with the waiter back in frame 1050).", "Oddly, the element on its own is drawn with four strokes but with five strokes when it appears in another kanji. [4]"]
h	𡗗	story	The element for <i>bushes</i> has an extra stroke added (drawn from the point where the second and fifth strokes intersect when it "encloses" something beneath, otherwise from the point where the fourth and fifth strokes intersect) to give the image of the crutches Japanese gardeners use to hold up a tree that is being bent into shape. From there it is but a short leap to the small <b>bonsai</b> plants that imitate this art in miniature. [5]	The element for <i>bushes</i> has an extra stroke added (drawn down from the middle of the second stroke when it "encloses" something beneath, otherwise from the point where the third and fourth strokes intersect) to give the image of the crutches Japanese gardeners use to hold up a tree that is being bent into shape. From there it is but a short leap to the small <b>bonsai</b> plants that imitate this art in miniature. [5]
h	頑	story	This character refers to the block<i>headed</i>, persistent <b>stubbornness</b> of one who sticks to an idea or a plan just the way it was at the <i>beginning</i>, without letting anything that comes up along the way alter things in the least. The explanation makes "sense," but is hard to remember because the word "<i>beginning</i> "is too abstract. Back up to the image we used two frames ago - Adam and Eve in their Eden - and try again: The root of all <b>stubbornness</b> goes back to the <i>beginning</i>, with two brothers each <b>stubbornly</b> defending his own way of life and asking their God to bless it favorably. Abel stuck to agriculture, Cain to animal-raising. Picture these two with their giant, swelled <i>heads</i>, each vying for the favors of heaven, a <b>stubborn</b> grimace on their faces. No wonder something unfortunate happened!	This character refers to the block<i>headed</i>, persistent <b>stubbornness</b> of one who sticks to an idea or a plan just the way it was at the <i>beginning</i>, without letting anything that comes up along the way alter things in the least. The explanation makes "sense," but is hard to remember because the word "<i>beginning</i> "is too abstract. Back up to the image we used two frames ago - Adam and Eve in their Eden - and try again: The root of all <b>stubbornness</b> goes back to the <i>beginning</i>, with two brothers each <b>stubbornly</b> defending his own way of life and asking their God to bless it favorably. Cain stuck to agriculture, Abel to animal-raising. Picture these two with their giant, swelled <i>heads</i>, each vying for the favors of heaven, a <b>stubborn</b> grimace on their faces. No wonder something unfortunate happened!
h	村	keywords	town, town	town, village
h	村	story	The character for <i>village</i> was associated with <i>rice fields</i> (Frame 96). That for <b>town</b>, a step up on the evolutionary path to cities, shows a circle of <i>trees glued together</i> to measure off the confines of a <b>town</b>.	The character for <i>town</i> was associated with <i>rice fields</i> (Frame 96). That for <b>village</b>, a step lower on the evolutionary path to cities, shows a circle of <i>trees glued together</i> to measure off the confines of a <b>village</b>.
h	町	keywords	village, village	village, town
h	町	story	<i>Street</i> signs standing at the corner of the <i>rice fields</i> depict the <b>village</b> limits. (Remember what was said earlier: when used as a primitive, a kanji may either take its primitive meaning or revert to the original meaning of its key word.)	<i>Street</i> signs standing at the corner of the <i>rice fields</i> depict the <b>town</b> limits. (Remember what was said earlier: when used as a primitive, a kanji may either take its primitive meaning or revert to the original meaning of its key word.)
h	箋	comment	The standard abbreviation one would have expected here—and which is likely to appear in official lists in the years ahead—appears in the fol- lowing examples of common newer forms you already know: 踐,棧,錣,賤 (old forms) vs 践, 桟, 銭, 賎 (modern abbreviations).	The standard abbreviation one would have expected here—and which is likely to appear in official lists in the years ahead—appears in the following examples of common newer forms you already know: 踐,棧,錣,賤 (old forms) vs 践, 桟, 銭, 賎 (modern abbreviations).
cs	箋	comment		This kanji is now officially the old-form (kyuujitai) after Joyo list update in 2010. The official new (shinjitai) form is 䇳.
cs	互	primitives		一彑
cs	剝	keywords		peel off (old)
cs	剝	comment		This is an old form of 剥 (peel off).
cs	僅	comment		Note that the old form of this kanji is written with 廿 (twenty) instead of 艹 (flowers).
cs	塑	primitives		朔土
h	鬱	story	Learning this character will take a little doing. Before we start, it is a good idea to keep the key word distinct from <i>melancholy</i> (Frame 663), with which it combines to create the psychological condition of depression (a metaphor based on the hollow or sinking of the material <i>depression</i> we met in Frame 1421). The picture of <b>gloom</b> begins with a small <i>grove</i> of <i>tree</i>s, under which we see a <i>crown</i> made out of used <i>tin cans</i>. Next (the lower half of the kanji) we find a combination that appears only a few times in modern characters and only once in those treated in the volumes of <i>Remembering the Kanji</i>. It is composed of a <i>shovel</i> with a <i>sheaf</i> dotted with small <i>drops</i> on all sides. Think of it as a large scoop <i>shovel</i> attached to the front of a bulldozer, whose driver is singing: ♪ "Bulldozing in the <i>sheaves</i>, bulldozing in the <i>sheaves</i>..." ♪ The <i>drops</i> represent the chaff flying about as the <i>sheaves</i> are tossed about by the heavy machinery. There is <i>someone sitting on the ground</i> alongside, watching as the machinery makes its way around the neighboring farmland - and it's you, wearing your <i>tin-can crown</i>. You feel overwhelmed by the impending doom as the invasion of agro-business draws closer and closer to the <i>grove</i>, the only patch of woods that remains of what once was a vast forest. The whole scene represents a re-<i>shaping</i> of the natural environment that brings the heavy weight of <b>gloom</b> down upon you. A bit much, perhaps, but there are enough elements to allow for any number of other combinations.	["Learning this character will take a little doing. Before we start, it is a good idea to keep the key word distinct from <i>melancholy</i> (Frame 663), with which it combines to create the psychological condition of depression (a metaphor based on the hollow or sinking of the material <i>depression</i> we met in Frame 1421). ", "The picture of <b>gloom</b> begins with a small <i>grove</i> of <i>tree</i>s, under which we see a <i>crown</i> made out of used <i>tin cans</i>. Next (the lower half of the kanji) we find a combination that appears only a few times in modern characters and only once in those treated in the volumes of <i>Remembering the Kanji</i>. It is composed of a <i>shovel</i> with a <i>sheaf</i> dotted with small <i>drops</i> on all sides. Think of it as a large scoop <i>shovel</i> attached to the front of a bulldozer, whose driver is singing: \u266a \"Bulldozing in the <i>sheaves</i>, bulldozing in the <i>sheaves</i>...\" \u266a The <i>drops</i> represent the chaff flying about as the <i>sheaves</i> are tossed about by the heavy machinery. There is <i>someone sitting on the ground</i> alongside, watching as the machinery makes its way around the neighboring farmland - and it's you, wearing your <i>tin-can crown</i>. You feel overwhelmed by the impending doom as the invasion of agro-business draws closer and closer to the <i>grove</i>, the only patch of woods that remains of what once was a vast forest. The whole scene represents a re-<i>shaping</i> of the natural environment that brings the heavy weight of <b>gloom</b> down upon you. \nA bit much, perhaps, but there are enough elements to allow for any number of other combinations."]
cs	掛	primitives		扌卦
cs	愕	keywords		shocked
h	胯	primitives		月大一丂
cs	胯	primitives		月夸
cs	敖	primitives		土放
cs	敖	primitive_keywords		leisurely
h	敖	primitives		土方攵
cs	傲	story		Another variation is with primitives 人 (person) and 敖 (leisurely).
h	贅	primitives		土方攵貝
cs	贅	primitives		敖貝
cs	贅	keywords		luxury
cs	鼇	primitives		敖黽
h	鼇	primitives		土方攵黽
h	螯	primitives		土方攵虫
cs	螯	primitives		敖虫
h	遨	primitives		土方攵辶
cs	遨	primitives		敖辶
h	熬	primitives		土方攵火
cs	熬	primitives		敖火
h	嗷	primitives		口土方攵
cs	嗷	primitives		口敖
h	鰲	primitives		土方攵魚
cs	鰲	primitives		敖魚
h	驁	primitives		士方攵馬
cs	驁	primitives		敖馬
cs	淀	keywords		to stall
cs	淀	story		The <i>water</i> (氵) reaches a <i>determined</i> (定) position and <b>stalls</b>.
cs	淹	keywords		to make tea
h	淹	primitives		氵奄
cs	彑	primitive_keywords		broom (old)
h	彑	primitives	彑	

cs	[butchers]	primitive_keywords	butchers meeting	
cs	[butchers]	story	Meeting.. Butcher..	Orphaned entry. Please see the unicode kanji 俞
cs	[butchers]	comment	This isn't specifically declared as a primitive by Heisig in his books, though it is hinted in his comments. It is however shared by many kanjis so it warrants its own separate entry here.	
cs	俞	primitive_keywords		butchers meeting
cs	俞	story		Meeting.. Butcher..
cs	俞	comment		This isn't specifically declared as a primitive by Heisig in his books, though it is hinted in his comments. It is however shared by many kanjis so it warrants its own separate entry here.
h	俞	primitives		亼刖
h	輸	primitives	車[butchers]	車俞
h	諭	primitives	言[butchers]	言俞
h	喩	primitives	口[butchers]	口俞
h	愈	primitives	[butchers]心	俞心
h	[butchers]	primitives	亼刖	
cs	喻	primitives		口俞
cs	喻	keywords		metaphor (simplified)
cs	喻	comment		This is an unofficial simplification of 喩.
cs	[caverns]	primitive_keywords		Finnish sauna
cs	[caverns]	story		Cave (广) + twenty (廿) = <b>Finnish sauna</b> (instead of Heisig's "caverns", which is easily confused with "cave")
