Kanji	Field	OldValue	NewValue
貌	heisig_comment		Editor's mnemonics: (using the original <b>countenance</b> 皃 primitive): <i>Pepe Le Pews'</i> (豸) <b>countenance</b> (皃) isn't that bad - he has a stylish <i>white</i> stripe and sturdy <i>legs</i>. It's just his smell that is awful!
蛛	primitives		虫朱
蛛	primitive_keywords		arachnid
蛛	heisig_story		Editor's mnemonic: This <b>arachnid</b> looks quite like the <i>vermilion</i> <i>insect</i> that bite Peter Parker in Spider-Man 1
蜘	primitives		虫知
蜘	primitive_keywords		spider
蜘	heisig_story		Editor's mnemonic: <b>Spider</i> is an <i>insect</i> that <i>knows</i> everything that is connected to its web.
嚢	heisig_comment	Note how the elements for needle and middle share a common, vertical stroke in this particularly complex character. Editor's note: The girl was wearing a <i>grass skirt</i>, but she couldn't fit the <i>top hat</i> on because she had a <i>one</i> giant <b>cyst</b> in the <i>middle</i> of her head, like a <i>crown</i>	Note how the elements for needle and middle share a common, vertical stroke in this particularly complex character. Editor's note: The girl was wearing a <i>grass skirt</i>, but she couldn't fit its mandatory accessory, the <i>top hat</i> on because she had a <i>one</i> giant <b>cyst</b> in the <i>middle</i> of her head, like a <i>crown</i>
唆	sec_primitives		口夋
壺	primitives		士冖一
壺	primitive_keywords		jar
壺	heisig_story		Editor's mnemonics: This <b>jar</b> is where the <i>samurai</i> (士) keeps his <i>first aid kit</i> (the 'plus' sign looking rare primitive) in a preparation to the battle <i>royal</i> (冖).  The <b>jar</b> is to be opened only after a <i>royal</i> mess, sort of like causing his entrails to be drooping on the <i>floor</i> (一).
壺	heisig_comment		Editor's note: This is a sibling kanji to 'crock' (壷) with the same exact readings. This kanji however seems to be more common even though it wasn't included in RTK whereas 壷 was.
蔭	primitive_keywords		owing to
蔭	heisig_comment		Editor's note: Crowd-sourced keyword: <b>owing to</b>. The kanji is mostly used in 御蔭で (thanks to you). Thanks to you, I was even able to grow flowers in the shade, no easy task
攣	primitives		糸言糸手
攣	primitive_keywords		crooked
痙	primitives		疒一川工
痙	primitive_keywords		cramp
窩	primitives		穴咼
窩	primitive_keywords		pouch
咸	primitive_keywords		lemmings
咸	heisig_story		A <i>march</i> of <b>lemmings</b>. The <i>mouth</i> here depicts the pixelated visual representation of <b>lemmings</b> characters in the puzzle-platform video game from the 90s. This goes well with the original meaning of this kanji: <b>All lemmings</b> look the <b>same</b>
咸	heisig_comment		This is a crowd-sourced non-Heisig primitive.
鍼	primitives		金咸
儚	primitives		人夢
儚	primitive_keywords		fleeting
扁	primitives		戸冊
兜	sec_primitives		匚皃匚
巽	heisig_story		Editor's mnemonics: The Siamese twin snakes (己己) decide to hijack Noah's ark (共) and head <b>southeast</b> towards their own country.
爛	primitives		火門東
爛	primitive_keywords		sore
爛	heisig_comment		Editor's note: Note the uncommon form of 東.
瀧	primitive_keywords		waterfall (old)
瀧	heisig_comment		Editor's note: This is an old form of waterfall (滝)
斤	primitives	斤	⺁丁
撼	primitives		扌感
疱	primitives		疒包
疱	primitive_keywords		blister
疱	heisig_story		Editor's mnemonics: In some <i>sicknesses</i> <b>blisters</b> appear in the skin. In fact the skin might look like bubble <i>wrap</i>.
疼	primitives		疒冬
疼	primitive_keywords		ache
疼	heisig_story		Editor's mnemonics: The <i>cave-man</i> was <b>aching</b> in the <i>winter</i> because it's too <i>icy</i> in his cave. Note in some fonts the common form of <i>ice</i> (冫) under <i>walking legs</i> is used.
瞼	primitives		目僉
瞼	primitive_keywords		eyelids
瞼	heisig_story		<b>Eyelids</b> come <b>together</b> to protect the <i>eye</b>.
滲	primitives	水厶厶参	水厶厶厶㐱
霰	primitives		雨散
霰	primitive_keywords		hailstones
箴	primitives		竹咸
喊	primitives		口咸
參	primitives	厶厶参	厶厶厶㐱
顆	primitives		果頁
顆	primitive_keywords		granule
顆	heisig_story		Editor's mnemonics: Some <i>fruits</i> (果), like banana has a rough granular protuberance at the <i>head</i> (頁) of its body.
顆	heisig_comment		Words: 顆粒層 (かりゅうそう): granular layer; stratum granulosum.  顆粒球 (かりゅうきゅう): granulocyte
閾	primitives		門或
竟	primitives	音立日儿	立日儿
竟	sec_primitives		音儿
竟	heisig_story	This primitive gets its meaning from the following frame. It shows a pair of <i>human legs</i> and a <i>tongue-wagging mouth</i> looking at a <b>mirror</b> <i>standing</i> on the wall, asking perhaps who might be the fairest of them all. [11]	This primitive gets its meaning from the principle kanji of mirror (鏡) . It shows a pair of <i>human legs</i> and a <i>tongue-wagging mouth</i> looking at a <b>mirror</b> <i>standing</i> on the wall, asking perhaps who might be the fairest of them all. [11]
竟	heisig_comment		Editor's note: The princess stands in front of the <b>mirror</b> all <i>day</i> admiring her nicely formed <i>legs</i>. You can almost hear the <i>sound</i> of her narcissism.
劦	primitive_keywords		triceps
蒦	primitives		艹隻
蒦	primitive_keywords		greenpeace vessel
蒦	heisig_story		Think of the combination of  <i>flower</i> and <i>vessel</i> as the <b>Greenpeace vessel</b> “Arctic Sunrise”. Only instead of a rainbow there is a big flower painted on the hull . Think of “flower-power” and of the “peace” in “Greenpeace” and it will make some sense hopefully.
蒦	heisig_comment		Editor's note: This is a crowd-sourced non-Heisig primitive.
夆	heisig_story	Walking legs.. Bushes... 	<i>Bushes</i> cover the <b>pointy</b> thing between your <i>walking legs</i>
卆	primitives		九十
夋	heisig_comment		Editor's comment: Keep this primitive separate from 娼 (harlot) and 妓 (courtesan)
乑	primitive_keywords		zombie
乑	heisig_story	Note here the abbreviated form of </i>drag</i>: [drag-bottom]	DRAG + RAG = ZOMBIE (walking around slowly, dragging feet, tattered rages…).    This primitive contains the same sub-primitives as 𠂢 (bifurcate) but will be used only under other primitives. Here the the abbreviated form of </i>drag</i>: [drag-bottom] is then used instead.
乑	heisig_comment		This is a crowd-sourced non-Heisig primitive.
僉	primitives		亼口口人人
僉	primitive_keywords		together (old)
僉	heisig_story		Two people get <b>together</b> for an eye-to-eye (or <i>mouth to mouth</b> <i>meeting</i>
僉	heisig_comment		This is an traditional kanji form of 㑒 and has an alternative meaning of 'together' besides 'all'.
忝	primitives		夭心
忝	primitive_keywords		grateful
蓙	primitives		艹座
聿	primitives	一肀	肀一一
蠖	primitives		虫蒦
尃	primitives	十田寸	十田寸丶
慘	primitives		心參
ヰ	heisig_comment		Editor's comment: This is a sunglasses (舛) with a one lens popped out. Alternatively one could use 'monocle' keyword.
鼡	primitive_keywords		rodent
賍	primitives		貝庄
皃	primitives		白儿
皃	primitive_keywords		countenance
𠫓	primitives		亠厶
